model,run,cv_auc,best_params,use_smote,sample_frac,speed_mode
Bagging,no_smote,0.7862599438678014,"{'baggingclassifier__n_estimators': 10, 'baggingclassifier__max_samples': 0.5, 'baggingclassifier__max_features': 0.5}",False,0.3,fast
GradientBoosting,no_smote,0.8580697688803282,"{'gradientboostingclassifier__n_estimators': 100, 'gradientboostingclassifier__max_depth': 3, 'gradientboostingclassifier__learning_rate': 0.05}",False,0.3,fast
HistGradientBoosting,no_smote,0.8603396235293834,"{'histgradientboostingclassifier__max_iter': 100, 'histgradientboostingclassifier__max_depth': 3, 'histgradientboostingclassifier__learning_rate': 0.05}",False,0.3,fast
KNN,no_smote,0.5616231916118452,"{'kneighborsclassifier__weights': 'uniform', 'kneighborsclassifier__p': 1, 'kneighborsclassifier__n_neighbors': 3}",False,0.3,fast
LogisticRegression,no_smote,0.8527295536782643,"{'logisticregression__solver': 'liblinear', 'logisticregression__penalty': 'l1', 'logisticregression__C': 0.01}",False,0.3,fast
RandomForest,no_smote,0.8521842722968942,"{'randomforestclassifier__n_estimators': 100, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__max_depth': 5}",False,0.3,fast
SVM,no_smote,0.8134916293338345,{'linearsvc__C': 0.01},False,0.3,fast
